เลขทะเบียนโรงงานเดิม,เลขทะเบียนโรงงานใหม่,รหัสประเภท,ประเภทหรือชนิดของโรงงาน,จำพวก,ปีที่อนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,คนงานรวม,แรงม้า,เงินทุนรวม (ล้านบาท)
3-106-36/65สบ,1.01901E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,65,บริษัท อินโดรามา โพลีเอสเตอร์ อินดัสตรี้ส์ จำกัด (มหาชน),บริษัท อินโดรามา โพลีเอสเตอร์ อินดัสตรี้ส์ จำกัด (มหาชน),บดแก้วและพลาสติก,66,1,,อดิเรกสาร,แก่งคอย,แก่งคอย,สระบุรี,18110,293,14007.5,2485
3-106-50/60สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,60,บริษัท ทีเออาร์เอฟ จำกัด,บริษัท ทีเออาร์เอฟ จำกัด,การแยกผลิตภัณฑ์ปิโตรเลียมจากกากหรือตะกอนน้ำมันดิบ (Waste Oil Separation) การผสมเพื่อปรับปรุงคุณภาพของเสียให้เหมาะสมกับวิธีการกำจัดด้วยวิธีการเผาทำลาย (Blending for Specific Disposal),โฉนดที่ดินเลขที่ 51449,7,,แก่งคอย-บ้านนา (3222),ชำผักแพว,แก่งคอย,สระบุรี,18110,8,210,24.86
3-106-17/57สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,57,ห้างหุ้นส่วนจำกัด ช.โชควิวัฒน์,ห้างหุ้นส่วนจำกัด ช.โชควิวัฒน์,ซ่อมแซมและล้างถังทุกชนิด ผลิตไบโอดีเซลจากน้ำมันพืชและสัตว์ที่ใช้แล้ว,88,2,,,ห้วยแห้ง,แก่งคอย,สระบุรี,18110,5,74.5,3.02
3-106-16/56สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,56,บริษัท เอส ซี ไอ อีโค่ เซอร์วิสเซส จำกัด,บริษัท เอส ซี ไอ อีโค่ เซอร์วิสเซส จำกัด,ปรับปรุงน้ำมันและสารละลายใช้แล้วเป็นเชื้อเพลิง ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว,33/2,3,,มิตรภาพ,บ้านป่า,แก่งคอย,สระบุรี,18110,14,370.5,46.87361
3-106-33/50สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,50,บริษัท อินทรี อีโคไซเคิล จำกัด,บริษัท อินทรี อีโคไซเคิล จำกัด,ทำเชื้อเพลิงผสมจากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ทำเชื้อเพลิงผสมและวัตถุดิบทดแทนจากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ทำเชื้อเพลิงผสมประเภทของเหลว คัดแยก พัก รวบรวม สิ่งปฏิกูลวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย รีไซเคิลหลอดไฟประเภทหลอดฟลูออเรสเซ็นต์ และรีไซเคิลกระป๋องสเปรย์,301,5,,มิตรภาพ,ทับกวาง,แก่งคอย,สระบุรี,18260,114,4975,345
3-106-40/62สบ,1.01902E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,62,บริษัท พี พาวเวอร์ โปรเกรสชั่น เอนไวรอน จำกัด,บริษัท พี พาวเวอร์ โปรเกรสชั่น เอนไวรอน จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลี่นใช้แล้วหรือตัวทำละลายใช้แล้ว นำน้ำมันที่ใช้แล้วมาปรับปรุงคุณภาพเพื่อนำกลับมาใช้ประโยชน์ใหม่ ทำเชื้อเพลิงผสมชนิดแข็ง (Solid Blending) และเชื้อเพลิงผสมชนิดเหลว (Liquid Blending) ซ่อมและล้างถังหรือภาชนะบรรจุด้วยตัวทำละลาย เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ,โฉนดที่ดินเลขที่ 9252,3,,,ท่ามะปราง,แก่งคอย,สระบุรี,18110,8,286,16.2
3-106-16/68สบ,1.01901E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,68,บริษัท เบอร์กโซ่ เมตัลส์ จำกัด,บริษัท เบอร์กโซ่ เมตัลส์ จำกัด,บดย่อยตะกรันจากการหลอมตะกั่วเพื่อนำกลับไปใช้ประโยชน์ใหม่,โฉนดที่ดินเลขที่ 3061,11,,,บ้านป่า,แก่งคอย,สระบุรี,18110,10,1102,75
3-106-67/65สบ,1.01902E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,65,บริษัท เอ็น15 เทคโนโลยี จำกัด,บริษัท เอ็น15 เทคโนโลยี จำกัด,ผลิตเชื้อเพลิงแข็ง (RDF),19,7,,,ห้วยแห้ง,แก่งคอย,สระบุรี,18110,50,4554.7,430
3-106-71/53สบ,1.01901E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,53,บริษัท ทีเออาร์เอฟ จำกัด,บริษัท ทีเออาร์เอฟ จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว ทำเชื้อเพลิงผสม ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย ทำวัตถุดิบทดแทนจากวัสดุที่ไม่ใช้แล้วในการผลิตปูนซีเมนต์ คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย การผสมเพื่อปรับคุณภาพของเสียให้เหมาะสมกับวิธีการกำจัดด้วยวิธีการเผาทำลาย (Blending for Specific Disposal) ผลิตเชื้อเพลิงแข็งจากขยะอุตสาหกรรม การคืนสภาพกรดหรือด่าง (Acid or Base Regeneration) การรีไซเคิลผลิตภัณฑ์แก้ว หลอดไฟ กระป๋องสเปรย์ที่ไม่ใช้แล้ว การบดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ไม่ใช้แล้ว การบดย่อยหรือการแยกวัสดุมีค่าจากเซลล์แสงอาทิตย์ที่ไม่ใช้แล้ว,83/1,7,,แก่งคอย-บ้านนา (3222),ชำผักแพว,แก่งคอย,สระบุรี,18110,16,915.6,48.545
3-106-1/46สบ,1.01901E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,46,บริษัท เวสท์ รีโคเวอรี่ จำกัด,บริษัท เวสท์ รีโคเวอรี่ จำกัด,ทำน้ำมันผสมสีทาบ้านจากน้ำมันใช้แล้ว ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย นำตัวทำละลายใช้แล้วผ่านกรรมวิธีการทางอุตสาหกรรม เพื่อนำกลับมาใช้ประโยชน์ใหม่ เป็นเชื้อเพลิงทดแทนและรีไซเคิลไส้กรองน้ำมัน,2-Apr,10,,มิตรภาพ,ตาลเดี่ยว,แก่งคอย,สระบุรี,18110,7,123.9,0
3-106-8/49สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,49,บริษัท เบตเตอร์ เวิลด์ กรีน จำกัด (มหาชน),บริษัท เบตเตอร์ เวิลด์ กรีน จำกัด (มหาชน),ปรับคุณภาพวัสดุที่ไม่ใช้แล้ว เพื่อเป็นเชื้อเพลิงทดแทนและวัตถุดิบทดแทน ซ่อมและล้างภาชนะหรือบรรจุภัณฑ์ปนเปื้อนวัสดุที่ไม่ใช้แล้วที่เป็นของเสียอันตราย รีไซเคิลหลอดไฟฟ้าที่ใช้แล้ว รีไซเคิลกระป๋องสเปรย์ ทำสีกันสนิมเกรดบี ผลิตปุ๋ยอินทรีย์จากกากตะกอนชีวภาพจากอุตสาหกรรมอาหารเกษตรแปรรูป เยื่อและกระดาษ นำกรดและด่างที่ใช้งานแล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อนำกลับมาใช้ใหม่ เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ,88/1,8,,,ห้วยแห้ง,แก่งคอย,สระบุรี,18110,11,2371.16,708
3-106-30/68สบ,1.01901E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,68,บริษัท ไทย กรีน เอนไวรอนเมนท์ อินเตอร์เนชั่นนอล กรุ๊ป จำกัด,บริษัท ไทย กรีน เอนไวรอนเมนท์ อินเตอร์เนชั่นนอล กรุ๊ป จำกัด,บดย่อยขี้เถ้าที่มีโลหะปะปนจากโรงไฟฟ้าพลังงานความร้อน เพื่อนำวัสดุที่ไม่ใช้แล้วและที่ไม่เป็นของเสียอันตรายมาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่ โดยผ่านกรรมวิธีการผลิตทางอุตสาหกรรม เช่น เหล็ก อะลูมิเนียม ทรายหยาบ และทรายละเอียด,168,3,,,ทับกวาง,แก่งคอย,สระบุรี,18260,46,869.8,216
3-106-17/53สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,53,บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),ผลิตน้ำมันเชื้อเพลิงจากยางที่ไม่ใช้แล้ว และพลาสติกที่ไม่ใช้แล้ว,299/188,5,,มิตรภาพ,ทับกวาง,แก่งคอย,สระบุรี,18260,30,3723,419.2
3-106-14/53สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,53,บริษัท ทีพีไอ โพลีน เพาเวอร์ จำกัด(มหาชน),บริษัท ทีพีไอ โพลีน เพาเวอร์ จำกัด(มหาชน),ผลิตเชื้อเพลิง Refuse Derived Fuel (RDF) จากขยะมูลฝอยและของเสียที่ไม่อันตราย,299/199,5,,มิตรภาพ,ทับกวาง,แก่งคอย,สระบุรี,18260,34,7602.8,219.58
3-106-49/67สบ,1.01901E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,67,บริษัท ไทยกิจพัฒนา จำกัด,บริษัท ไทยกิจพัฒนา จำกัด,ผลิตเชื้อเพลิงแข็งจากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก ยาง ผ้า และคัดแยกวัสดุที่่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,134,4,,,สองคอน,แก่งคอย,สระบุรี,18110,30,980.5,20
3-105-123/60สบ,1.019E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,ห้างหุ้นส่วนจำกัด ยิ่งเจริญทรัพย์ พีวีซี,ห้างหุ้นส่วนจำกัด ยิ่งเจริญทรัพย์ พีวีซี,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,100,2,,,พุแค,เฉลิมพระเกียรติ,สระบุรี,18240,7,238,2.5
จ3-105-135/50สบ,2.019E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,50,,นายสุวัฒน์ สีดาพารี,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วมีลักษณะและคุณสมบัติตามที่กำหนดไว้ในกฎกระทรวงฉบับที่ 2,496,7,,พหลโยธิน,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,9,197,8
3-105-82/60สบ,1.019E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,นางเสนาะ คัมภิรานนท์,นางเสนาะ คัมภิรานนท์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดที่ดินเลขที่ 14641,8,,,ห้วยบง,เฉลิมพระเกียรติ,สระบุรี,18000,9,133,3
จ3-105-180/50สบ,2.019E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,50,ยิ่งเจริญค้าเหล็ก,ยิ่งเจริญค้าเหล็ก,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่มีลักษณะและคุณสมบัติตามที่กำหนดไว้ในกฎกระทรวง ฉบับที่ 2 (พ.ศ.2535) ออกตามความในพระราชบัญญัติโรงงาน พ.ศ. 2535,5,7,,,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,9,157,1.5
จ3-105-209/50สบ,2.019E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,50,บริษัท สยาม-ไทย เอนไวรอนเม้นท์ เซอร์วิส จำกัด,บริษัท สยาม-ไทย เอนไวรอนเม้นท์ เซอร์วิส จำกัด,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้ว,271/1,1,,,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,5,138,69
3-105-22/60สบ,1.01901E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท แมกซ์เวลล์ เอ็นเตอร์ไพรส์ จำกัด,บริษัท แมกซ์เวลล์ เอ็นเตอร์ไพรส์ จำกัด,คัดแยกและบดย่อยวัสดุที่ไม่ใช้แล้ว ได้แก่ เศษพลาสติกและเศษยาง เพื่อเป็นเชื้อเพลิงหรือวัตถุดิบสำหรับทำผลิตภัณฑ์ชนิดใหม่,119,3,,,พุแค,เฉลิมพระเกียรติ,สระบุรี,18240,40,355,6.9
3-105-52/65สบ,1.01901E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,65,บริษัท โกลเด้นเวสท์กรีน จำกัด,บริษัท โกลเด้นเวสท์กรีน จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,88/8,11,,,พุแค,เฉลิมพระเกียรติ,สระบุรี,18240,18,270,30
จ3-105-112/52สบ,2.019E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,52,บริษัท กูรู มิล จำกัด,บริษัท กูรู มิล จำกัด,บดย่อยสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายประเภทสเกลเหล็ก,291,6,,หนองจาน,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,17,667,6.5
3-106-62/68สบ,1.01902E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,68,บริษัท สานนท์ กรุ๊ป จำกัด,บริษัท สานนท์ กรุ๊ป จำกัด,สกัดโลหะมีค่า เช่น ทองคำ และเงิน จากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และจากการตะกอนระบบบำบัดน้ำเสีย ของกระบวนการร่อน คัดขนาดกรวด และทราย,โฉนดที่ดินเลขที่ 11782 และ 18014,3,,,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,25,471.5,21
3-106-25/60สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,60,บริษัท กรีน ริเวอร์ เวสท์ จำกัด,บริษัท กรีน ริเวอร์ เวสท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว และสับย่อยยางทุกชนิด เพื่อใช้ทำเป็นเชื้อเพลิงทดแทน,โฉนดที่ดินเลขที่ 12534,3,,,พุแค,เฉลิมพระเกียรติ,สระบุรี,18240,20,1930,70
3-106-63/68สบ,1.01902E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,68,บริษัท เอ็นจี59 จำกัด,บริษัท เอ็นจี59 จำกัด,หล่อหลอมเศษโลหะ เช่น ทองแดง ตะกรันทองแดง ตะกอนทองแดงจากระบบบำบัดน้ำเสีย และผงทองแดงจากการบดย่อยแผงพีซีบี และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดที่ดินเเลขที่ 12534,3,,,พุแค,เฉลิมพระเกียรติ,สระบุรี,18240,15,1608,50
3-106-8/54สบ,1.01901E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,54,บริษัท ไพโร เอนเนอร์ยี่ จำกัด,บริษัท ไพโร เอนเนอร์ยี่ จำกัด,"ทำเชื้อเพลิงทดแทนจากเศษพลาสติกและยางรถยนต์ที่ใช้แล้ว , รีไซเคิลผงคาร์บอนแบล็ค",129,6,,,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,106,8419,124
3-106-20/49สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,49,บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),นำเถ้า ASH จากการเผาไหม้ของมวลชีวภาพ ฟอส์ซิล หรือวัสดุที่เผาไหม้ได้ แบบยิปซั่ม มาผ่านกระบวนการทางอุตสาหกรรม,48/1,,,ทางหลวงหมายเลข 21,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,5,190.4,2
3-106-21/60สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,60,บริษัท อาร์แอนด์ที (2018) จำกัด,บริษัท อาร์แอนด์ที (2018) จำกัด,ทำน้ำมันเชื้อเพลิงทดแทนจากเศษพลาสติกที่ใช้แล้วด้วยวิธีไพโรไลซิส หลอมหล่อเศษตะกอนและตะกรันโลหะ คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ถอด แยก บดย่อย เครื่องใช้ไฟฟ้าชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์ แผงวงจรอิเล็กทรอนิกส์ สายไฟ มิเตอร์ มอเตอร์ใช้แล้ว เศษและตะกรันโลหะผสมเพื่อนำโลหะกลับมาใช้ประโยชน์ใหม่ เก็บรวบรวมแบตเตอรี่ใช้แล้วโดยไม่มีการแปรสภาพ,น.ส.3 เล่มที่ 16 หน้า 162,6,,นิคมพัฒนา,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,80,12862.76,378
3-106-6/63สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,63,บริษัท ปูนขาวและแร่ จำกัด,บริษัท ปูนขาวและแร่ จำกัด,บดย่อย ลดขนาด อบด้วยความร้อนอัดเชื้อเพลิงเป็นแท่งและคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,566,8,,,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,20,495,4.515
3-106-63/60สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,60,บริษัท จรัญธุรกิจ 52 จำกัด,บริษัท จรัญธุรกิจ 52 จำกัด,ผลิตวัสดุมวลเบาสังเคราะห์ (G-Rock),28/3,1,,,เขาดินพัฒนา,เฉลิมพระเกียรติ,สระบุรี,18000,12,997,42
3-106-36/68สบ,1.01901E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,68,บริษัท อาร์ซีบี คาร์บอน จำกัด,บริษัท อาร์ซีบี คาร์บอน จำกัด,ผลิตและปรับปรุงคุณภาพคาร์บอนแบล็คจากเศษยาง และยางยานพาหนะที่ใช้แล้ว,"โฉนดที่ดินเลขที่ 24591,24592 และ 16113",6,,,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,10,11443.68,212
3-106-63/53สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,53,ห้างหุ้นส่วนจำกัด พรพัฒน์ เทรดดิ้ง,ห้างหุ้นส่วนจำกัด พรพัฒน์ เทรดดิ้ง,คัดแยกและบดย่อยยางรถยนต์ที่ไม่ใช้แล้ว,221,3,,พหลโยธิน,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,21,100,58
3-106-12/68สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,68,บริษัท อีเอสจี เคมีคอลส์ จำกัด,บริษัท อีเอสจี เคมีคอลส์ จำกัด,ปรับปรุงคุณภาพน้ำมันหล่อลื่นที่ใช้แล้ว (Synthetic oil) น้ำมันไพโรไลซิส (Pyrolysis) จากเศษพลาสติก  เศษยาง และยางรถยนต์ที่ใช้แล้ว,โฉนดที่ดินเลขที่ 16113,6,,สระบุรี-หล่มสัก,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,18240,10,6192.18,210.5
3-101-3/45สบ,1.01901E+13,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),3,45,บริษัท ปูนซิเมนต์ไทย (ท่าหลวง) จำกัด โรงงานท่าหลวง,บริษัท ปูนซิเมนต์ไทย (ท่าหลวง) จำกัด โรงงานท่าหลวง,ปรับคุณภาพของเสียรวม เช่น น้ำมันหล่อลื่น ยางรถยนต์ ของเหลว เป็นต้น โดยกระบวนการใช้ความร้อนด้วยการเผาในเตาเผาซีเมนต์,1,9,,พัฒน์พงศ์,บ้านครัว,บ้านหมอ,สระบุรี,18270,4,2236,301
3-105-42/66สบ,1.01901E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,66,บริษัท ธนชาติพาณิชย์รีไซเคิล จำกัด,บริษัท ธนชาติพาณิชย์รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,101/8,6,,,สร่างโศก,บ้านหมอ,สระบุรี,18130,5,180,3
3-105-46/65สบ,1.01901E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,65,ห้างหุ้นส่วนจำกัด เอส.พี.ที.เซอร์วิส,ห้างหุ้นส่วนจำกัด เอส.พี.ที.เซอร์วิส,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดที่ดินเลขที่ 33785,3,,,สร่างโศก,บ้านหมอ,สระบุรี,18130,14,190,5.5
3-105-48/64สบ,1.01903E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,64,บริษัท เค.บี.เค.เกษตรภัณฑ์ จำกัด,บริษัท เค.บี.เค.เกษตรภัณฑ์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,87,8,,,สร่างโศก,บ้านหมอ,สระบุรี,18130,25,77.5,20
3-106-38/53สบ,1.019E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,53,บริษัท ปูนซิเมนต์ไทย (ท่าหลวง) จำกัด,บริษัท ปูนซิเมนต์ไทย (ท่าหลวง) จำกัด,ทำวัตถุดิบทดแทนจากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ในการผลิตปูนซิเมนต์,1,9,,พัฒน์พงศ์,บ้านครัว,บ้านหมอ,สระบุรี,18270,5,631.52,0
3-106-40/53สบ,1.01901E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,53,บริษัท เอส ซี ไอ อีโค่ เซอร์วิสเซส จำกัด,บริษัท เอส ซี ไอ อีโค่ เซอร์วิสเซส จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว,1,9,,พัฒน์พงษ์,บ้านครัว,บ้านหมอ,สระบุรี,18270,5,71,41.583
3-101-2/52สบ,1.01902E+13,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),3,52,บริษัท ปูนซีเมนต์เอเซีย จำกัด (มหาชน),บริษัท ปูนซีเมนต์เอเซีย จำกัด (มหาชน),ปรับคุณภาพของเสียรวมโดยการนำไปเผาในเตาเผาปูนซีเมนต์เพื่อเป็นวัตถุดิบทดแทนหรือเชื้อเพลิงทดแทนสำหรับการผลิตปูนซีเมนต์,1-Apr,1,,โยธาสาย 2,พุกร่าง,พระพุทธบาท,สระบุรี,18120,16,265,26.6095
3-101-2/45สบ,1.01901E+13,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),3,45,บริษัท ปูนซิเมนต์ไทย (ท่าหลวง) จำกัด โรงงานเขาวง,บริษัท ปูนซิเมนต์ไทย (ท่าหลวง) จำกัด โรงงานเขาวง,ปรับคุณภาพของเสียรวม (บำบัดหรือกำจัดวัสดุที่ไม่ใช้แล้ว เช่น น้ำมันหล่อลื่น ยางรถยนต์ ของเหลว เป็นต้น) โดยกระบวนการใช้ความร้อนด้วยการเผาในเตาเผาซีเมนต์,28,4,,หน้าพระลาน-บ้านครัว,เขาวง,พระพุทธบาท,สระบุรี,18120,4,5760,41
