เลขทะเบียนโรงงานเดิม,เลขทะเบียนโรงงานใหม่,รหัสประเภท,ประเภทหรือชนิดของโรงงาน,จำพวก,ปีที่อนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,คนงานรวม,แรงม้า,เงินทุนรวม (ล้านบาท)
จ3-105-204/51สป,2.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,51,บริษัท เกียรติถาวร พาราวู้ด จำกัด,บริษัท เกียรติถาวร พาราวู้ด จำกัด,คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ทำลังไม้และชั้นรองของจากไม้,436,1,,รัตนราช,บางบ่อ,บางบ่อ,สมุทรปราการ,10560,40,124.5,7.7
จ3-105-156/51สป,2.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,51,ห้างหุ้นส่วนจำกัด วอเตอร์ ชอยซ,ห้างหุ้นส่วนจำกัด วอเตอร์ ชอยซ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก โลหะ กระดาษ ผ้า ฯลฯ และทำเม็ดพลาสติกจากเศษพลาสกติกเก่า,311,1,,บ้านลีส้ง-บ้านบางพลีน้อย,คลองด่าน,บางบ่อ,สมุทรปราการ,10550,30,496.85,11
3-105-51/48สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,48,บริษัท พี.ซี.อินเตอร์พลาสท์ จำกัด,บริษัท พี.ซี.อินเตอร์พลาสท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และผลิตเม็ดพลาสติก,33/1,1,นิยม-เกาะแก้ว,บางนา-ตราด กม.35,คลองนิยมยาตรา,บางบ่อ,สมุทรปราการ,10560,20,763.04,29.3
จ3-105-206/51สป,2.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,51,บริษัท จงสุทธา จำกัด,บริษัท จงสุทธา จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย การตัดและย่อยเศษด้ายหรือเศษผ้า,238,12,วัดปานประสิทธาราม,สุขุมวิท,คลองด่าน,บางบ่อ,สมุทรปราการ,10550,10,276,20
3-105-49/64สป,1.01103E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,64,ห้างหุ้นส่วนจำกัด บางพลีน้อย รีไซเคิล,ห้างหุ้นส่วนจำกัด บางพลีน้อย รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,134/1,2,,,บางพลีน้อย,บางบ่อ,สมุทรปราการ,10560,30,380,10.8
3-105-44/65สป,1.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,65,บริษัท เอส แอนด์ ดี พลาสติก จำกัด,บริษัท เอส แอนด์ ดี พลาสติก จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ได้แก่ เศษพลาสติก ไม้ เศษโลหะฯลฯ,152,1,บางพลีน้อย-สีล้ง,บางนา -ตราด,บ้านระกาศ,บางบ่อ,สมุทรปราการ,10560,15,663,26.5
3-105-71/61สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,61,บริษัท 999 ธนทรัพย์รุ่งเรือง จำกัด,บริษัท 999 ธนทรัพย์รุ่งเรือง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,488,6,บังหมัด,ลาดหวาย,บางเพรียง,บางบ่อ,สมุทรปราการ,10560,12,378,13
จ3-105-111/50สป,2.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,50,ห้างหุ้นส่วนจำกัด เอ็ม เอ็น ที รีไซเคิล,ห้างหุ้นส่วนจำกัด เอ็ม เอ็น ที รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,89,6,วัดเกาะแก้ว,บางนา-ตราด,บางพลีน้อย,บางบ่อ,สมุทรปราการ,10560,55,3,1.615
3-105-56/67สป,1.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,67,บริษัท ธรณีมั่นคง จำกัด,บริษัท ธรณีมั่นคง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,382/9,5,,,บางเพรียง,บางบ่อ,สมุทรปราการ,10560,12,158,25
3-105-55/60สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท ดับบลิว เค พี พลาสติก จำกัด,บริษัท ดับบลิว เค พี พลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,158,2,,,บ้านระกาศ,บางบ่อ,สมุทรปราการ,10560,20,285,4.7
